"ID","log2sum","n","type"
"ACAA2",-0.139566049728614,1,"ns"
"ACADVL",0.477451804932753,1,"ns"
"ACSL1",0.00599668934267007,1,"ns"
"ACSL3",0.0435832093815504,1,"ns"
"ACTB",-0.105167681362099,1,"ns"
"ACTN4",0.727751302442961,2,"up"
"ACTR1B",-0.184094166219835,1,"ns"
"ACTR2",1.54399116433887,2,"up"
"AK1",1.57527453950167,1,"up"
"AKR1B1",0.140536956535583,1,"ns"
"AKR1C2",0.0366559913360169,1,"ns"
"AKR1C3",0.400712527850506,1,"ns"
"ALOX5",0.698199971584258,1,"up"
"AMBP",0.274482190937013,1,"ns"
"ANXA1",0.718075547363197,1,"up"
"ANXA11",-0.259244363766104,1,"ns"
"ANXA5",0.087021211523518,2,"ns"
"ANXA6",0.275384383357372,2,"ns"
"AP3B1",-0.0149341208558285,1,"ns"
"APOE",-0.571488187626464,1,"down"
"APOH",0.164806954495978,1,"ns"
"APOL2",0.482133430719694,1,"ns"
"APOOL",0.831753063221175,1,"up"
"ARF1",0.121708163600089,1,"ns"
"ARHGDIA",-0.320336775362297,1,"ns"
"ARL8B",-0.229816050834751,1,"ns"
"ARPC5L",0.511124192034574,1,"up"
"ASAP2",-0.017004441165688,1,"ns"
"ASPN",0.884127824419059,1,"up"
"ASS1",0.0407061176544952,1,"ns"
"ATP2A2",-0.0542443669896055,1,"ns"
"ATP5F1A",0.472539885580697,1,"ns"
"ATP5PD",0.972146922918438,1,"up"
"ATP6V1D",0.765662799840325,1,"up"
"BCAT1",0.125267753265958,1,"ns"
"BGN",1.53138123014246,2,"up"
"C3",-0.0723822505175942,1,"ns"
"C4A",0.0583193236545299,1,"ns"
"C7",0.334094896521427,1,"ns"
"CACNB1",0.42819569627939,1,"ns"
"CAND1",1.51049118118164,1,"up"
"CAPG",-0.98035944519002,1,"down"
"CAPN2",0.327958543516624,1,"ns"
"CBR3",0.137357363612412,1,"ns"
"CCDC154",0.0547534985364136,1,"ns"
"CCT4",0.141928833612248,1,"ns"
"CCT5",-0.0316209775123959,1,"ns"
"CD163",-0.548609332380944,1,"down"
"CD44",0.516776834843914,1,"up"
"CFH",0.19585565231044,1,"ns"
"CFL1",0.327484431961817,1,"ns"
"CKM",0.391324549081263,1,"ns"
"CLIC1",-0.678195172010293,1,"down"
"CLIC4",-0.21744832726284,1,"ns"
"CLTC",1.6612538191862,2,"up"
"CLU",-0.514527046049104,1,"down"
"CNN1",-0.00425751851131216,1,"ns"
"COL14A1",0.68898679699899,5,"up"
"COL1A1",-0.0105705117959118,2,"ns"
"COL6A1",1.6116373283074,3,"up"
"COL6A2",0.852223501606397,3,"up"
"COL6A3",0.131270267213102,6,"ns"
"COLGALT1",0.198633220832625,1,"ns"
"COMP",0.86743330445192,2,"up"
"COPG1",-0.0597654584095807,1,"ns"
"COTL1",-0.856106010537921,1,"down"
"COX6C",0.530895240527257,1,"up"
"COX7B",0.322820015425773,1,"ns"
"CP",0.581525829516702,1,"up"
"CRELD1",0.163771100739395,1,"ns"
"CRTAC1",0.281460299146804,1,"ns"
"CTNNA1",-0.0761585758861762,2,"ns"
"CTSG",0.300234167516089,1,"ns"
"CYB5R1",0.375949234588005,1,"ns"
"CYB5R3",-0.3154492365017,1,"ns"
"CYFIP1",-0.294222893433425,1,"ns"
"DDB1",-0.210716391582077,1,"ns"
"DDX19A",0.319309345406194,1,"ns"
"DDX5",-0.153504447090234,1,"ns"
"DEFA3",0.696537628035442,1,"up"
"DES",0.0739458080283047,1,"ns"
"DISC1",0.661334390773683,1,"up"
"DLST",0.0197596685113443,1,"ns"
"DPP4",0.728689865344525,1,"up"
"DPT",-0.137309418776079,1,"ns"
"DPYSL2",0.340717698574959,2,"ns"
"DPYSL3",0.326487644893438,1,"ns"
"DYNC1H1",0.493524494297528,2,"ns"
"EEF1A1P5",0.763234769394347,1,"up"
"EEF1A2",0.830534152904478,1,"up"
"EEF1D",-0.175824820734618,1,"ns"
"EEF1G",0.906134911893382,1,"up"
"EHD4",-0.381699740233401,1,"ns"
"EIF3A",0.405013554175483,2,"ns"
"EIF3C",0.332908490223656,1,"ns"
"ENO1",0.569944302405247,1,"up"
"ERAP1",0.0850439970480466,1,"ns"
"ESYT1",0.531004924622423,1,"up"
"F13A1",0.671021642660086,1,"up"
"F2",-0.103249540819668,1,"ns"
"FABP4",0.371666448707464,2,"ns"
"FABP5",2.67919697095721,1,"up"
"FBN1",0.0392976211234073,4,"ns"
"FCGRT",-0.146295813902034,1,"ns"
"FERMT2",0.0104725866901745,1,"ns"
"FGA",2.73405163248274,3,"up"
"FGB",0.122720662514287,2,"ns"
"FH",0.0500761036068876,1,"ns"
"FKBP4",0.279881504964068,1,"ns"
"FLNA",-0.496815809744811,1,"ns"
"FLNB",0.315000116545676,1,"ns"
"FN1",1.57700149743607,2,"up"
"GARS1",-0.475710241458459,1,"ns"
"GLG1",0.275214522030713,3,"ns"
"GLS",0.926662844892075,1,"up"
"GPI",0.455289327318416,2,"ns"
"GPX8",0.199747010784807,1,"ns"
"H1-4",0.977366750690312,1,"up"
"H1F5",0.726205217788658,1,"up"
"H3C15",-0.902440585260728,2,"down"
"H4C1",0.661521089708709,1,"up"
"HACD3",0.0164395013091253,1,"ns"
"HGS",-0.216291311778946,1,"ns"
"HK1",0.646962854112827,1,"up"
"HLA-A",0.35440246091888,1,"ns"
"HLA-B",0.717521049348161,1,"up"
"HLA-DQA1",-0.0808942456423635,1,"ns"
"HLA-DRA",0.237989193196803,2,"ns"
"HMGB1",-0.595178967838678,2,"down"
"HNRNPA2B1",-0.692853751556474,1,"down"
"HNRNPC",1.47409240863514,2,"up"
"HNRNPL",-0.0595683913893007,1,"ns"
