Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0070062~extracellular exosome	119	55.34883721	5.82E-58	"Q14204, P23396, P07900, P52272, P56199, Q9P2R7, P0C0L5, P0C0L4, Q8WUM4, P98160, P07237, P07910, P49257, P62805, P12429, Q9NS93, Q9NRX4, P19338, P01903, P09382, P05062, P49368, P06396, P60866, P22105, P08697, P62249, P00450, P04217, Q13813, O75369, P11940, P51888, O43776, P12111, O60701, P25705, P19827, P08263, Q93088, O14964, P22314, Q8WZ42, P50440, P29401, P35749, P05556, P53396, P68133, O95183, P17661, Q9Y2J8, P68371, P34896, Q9Y6R7, P17655, P01008, P08311, P04350, P04075, P61978, Q14764, Q9BUT1, P35579, P63244, P00747, Q15181, P39023, P01834, P63000, P08123, P09972, P07437, P60709, P22392, P68032, Q99832, P49327, P05023, P02751, P21333, P02671, P02790, P14618, Q9BPX5, Q06323, Q9H223, P50995, P63267, P63261, P15153, P02787, P62851, Q9Y490, Q9UL46, P04424, P21283, P51571, P53999, O14818, Q00325, Q9NZN4, P06576"	214	2242	20666	5.125709688	2.28E-55	2.28E-55	1.91E-55
UP_KW_PTM	KW-0007~Acetylation	129	60	6.83E-34	"Q14204, P08559, P23396, P07900, P52272, P52790, Q6NZI2, P18124, Q9P2R7, Q9NUU7, Q9UJS0, P22695, Q15020, Q8WUM4, P07237, O14548, P05455, P07910, P62805, P12429, Q9NRX4, P11177, P54868, P19338, P09382, P05062, P49368, P06396, P60866, P62249, O15020, P26640, Q13813, O75369, P11940, P57740, O43776, Q96I99, Q8IVF2, O60701, P25705, P08263, P31040, P00325, P40429, O14964, P22314, Q9BQE5, P50440, P29401, Q13303, P05556, P53396, P68133, P51659, P68371, P34896, P17655, Q56VL3, P04075, P43487, P61978, P07305, P31930, Q14764, Q96EP5, Q9Y6K5, P13667, P36542, P35579, P63244, P36551, Q15181, P39023, P63000, P09972, P07437, Q16836, Q14258, P60709, Q15746, P68032, P11498, Q99832, P49327, P05023, P21333, P13804, P14618, Q5SSJ5, Q9H223, P19237, P50995, P42766, P63267, P63261, P15153, P62851, Q9Y490, P54687, Q9UL46, P04424, P21283, P19367, P11474, P53999, P48739, O14818, Q00325, P49821, P48059, Q9ULV4, Q14683, P06576"	197	3505	14268	2.66562199	1.64E-32	1.71E-32	1.16E-32
UP_SEQ_FEATURE	MUTAGEN:K->A: Impaired methylation by N6AMT1.	14	6.511627907	1.15E-25	P62805	209	14	20502	98.09569378	1.97E-22	9.85E-23	9.72E-23
UP_SEQ_FEATURE	CROSSLNK:Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in UFM1); alternate	14	6.511627907	1.15E-25	P62805	209	14	20502	98.09569378	1.97E-22	9.85E-23	9.72E-23
INTERPRO	IPR019809:Histone_H4_CS	14	6.511627907	1.42E-25	P62805	214	14	20667	96.57476636	1.33E-22	1.33E-22	1.26E-22
UP_SEQ_FEATURE	MUTAGEN:K->R: Abolished ufmylation.	14	6.511627907	8.51E-25	P62805	209	15	20502	91.55598086	1.46E-21	4.88E-22	4.81E-22
INTERPRO	IPR035425:CENP-T/H4_C	14	6.511627907	1.05E-24	P62805	214	15	20667	90.1364486	9.87E-22	3.29E-22	3.12E-22
INTERPRO	IPR001951:Histone_H4	14	6.511627907	1.05E-24	P62805	214	15	20667	90.1364486	9.87E-22	3.29E-22	3.12E-22
UP_SEQ_FEATURE	DOMAIN:TATA box binding protein associated factor (TAF) histone-like fold	14	6.511627907	4.49E-24	P62805	209	16	20502	85.83373206	7.73E-21	1.93E-21	1.91E-21
INTERPRO	IPR004823:TAF_TATA-bd_Histone-like_dom	14	6.511627907	5.56E-24	P62805	214	16	20667	84.50292056	5.21E-21	1.30E-21	1.23E-21
