"predictions","Actual","predictions_type","AUC","Fold","Model"
"1",1,"training",0.854838709677419,1,"1Logistic Regression"
"0",0,"training",0.854838709677419,1,"1Logistic Regression"
"1",1,"training",0.854838709677419,1,"1Logistic Regression"
"0",0,"training",0.854838709677419,1,"1Logistic Regression"
"0",0,"training",0.854838709677419,1,"1Logistic Regression"
"0",0,"training",0.854838709677419,1,"1Logistic Regression"
"1",1,"training",0.854838709677419,1,"1Logistic Regression"
"1",1,"training",0.854838709677419,1,"1Logistic Regression"
"1",1,"training",0.854838709677419,1,"1Logistic Regression"
"0",0,"training",0.854838709677419,1,"1Logistic Regression"
"0",1,"training",0.854838709677419,1,"1Logistic Regression"
"0",1,"training",0.854838709677419,1,"1Logistic Regression"
"0",0,"training",0.854838709677419,1,"1Logistic Regression"
"1",1,"training",0.854838709677419,1,"1Logistic Regression"
"0",0,"training",0.854838709677419,1,"1Logistic Regression"
"1",1,"training",0.854838709677419,1,"1Logistic Regression"
"1",1,"training",0.854838709677419,1,"1Logistic Regression"
"1",0,"training",0.854838709677419,1,"1Logistic Regression"
"0",0,"training",0.854838709677419,1,"1Logistic Regression"
"1",1,"training",0.854838709677419,1,"1Logistic Regression"
"0",0,"training",0.854838709677419,1,"1Logistic Regression"
"1",0,"training",0.854838709677419,1,"1Logistic Regression"
"1",1,"training",0.854838709677419,1,"1Logistic Regression"
"0",0,"training",0.854838709677419,1,"1Logistic Regression"
"0",1,"training",0.854838709677419,1,"1Logistic Regression"
"1",0,"training",0.854838709677419,1,"1Logistic Regression"
"0",0,"training",0.854838709677419,1,"1Logistic Regression"
"1",1,"training",0.854838709677419,1,"1Logistic Regression"
"0",0,"training",0.854838709677419,1,"1Logistic Regression"
"0",0,"training",0.854838709677419,1,"1Logistic Regression"
"1",1,"training",0.854838709677419,1,"1Logistic Regression"
"0",0,"training",0.854838709677419,1,"1Logistic Regression"
"0",0,"training",0.854838709677419,1,"1Logistic Regression"
"1",1,"training",0.854838709677419,1,"1Logistic Regression"
"0",0,"training",0.854838709677419,1,"1Logistic Regression"
"1",1,"training",0.854838709677419,1,"1Logistic Regression"
"0",1,"training",0.854838709677419,1,"1Logistic Regression"
"0",0,"training",0.854838709677419,1,"1Logistic Regression"
"0",0,"training",0.854838709677419,1,"1Logistic Regression"
"1",1,"training",0.854838709677419,1,"1Logistic Regression"
"1",1,"training",0.854838709677419,1,"1Logistic Regression"
"1",1,"training",0.854838709677419,1,"1Logistic Regression"
"1",1,"training",0.854838709677419,1,"1Logistic Regression"
"1",1,"training",0.854838709677419,1,"1Logistic Regression"
"0",0,"training",0.854838709677419,1,"1Logistic Regression"
"0",0,"training",0.854838709677419,1,"1Logistic Regression"
"0",1,"training",0.854838709677419,1,"1Logistic Regression"
"0",0,"training",0.854838709677419,1,"1Logistic Regression"
"0",0,"training",0.854838709677419,1,"1Logistic Regression"
"0",0,"training",0.854838709677419,1,"1Logistic Regression"
"1",1,"training",0.854838709677419,1,"1Logistic Regression"
"1",1,"training",0.854838709677419,1,"1Logistic Regression"
"0",0,"training",0.854838709677419,1,"1Logistic Regression"
"0",0,"training",0.854838709677419,1,"1Logistic Regression"
"1",1,"training",0.854838709677419,1,"1Logistic Regression"
"1",1,"training",0.854838709677419,1,"1Logistic Regression"
"0",0,"training",0.854838709677419,1,"1Logistic Regression"
"1",1,"training",0.854838709677419,1,"1Logistic Regression"
"0",0,"training",0.854838709677419,1,"1Logistic Regression"
"1",1,"training",0.854838709677419,1,"1Logistic Regression"
"0",1,"training",0.854838709677419,1,"1Logistic Regression"
"0",0,"training",0.854838709677419,1,"1Logistic Regression"
"1",1,"testing",0.90625,1,"1Logistic Regression"
"0",0,"testing",0.90625,1,"1Logistic Regression"
"0",0,"testing",0.90625,1,"1Logistic Regression"
"1",1,"testing",0.90625,1,"1Logistic Regression"
"1",1,"testing",0.90625,1,"1Logistic Regression"
"1",1,"testing",0.90625,1,"1Logistic Regression"
"0",0,"testing",0.90625,1,"1Logistic Regression"
"1",0,"testing",0.90625,1,"1Logistic Regression"
"1",0,"testing",0.90625,1,"1Logistic Regression"
"0",0,"testing",0.90625,1,"1Logistic Regression"
"0",0,"testing",0.90625,1,"1Logistic Regression"
"0",0,"testing",0.90625,1,"1Logistic Regression"
"0",0,"testing",0.90625,1,"1Logistic Regression"
"0",0,"testing",0.90625,1,"1Logistic Regression"
"0",0,"testing",0.90625,1,"1Logistic Regression"
"0",0,"testing",0.90625,1,"1Logistic Regression"
"0",0,"testing",0.90625,1,"1Logistic Regression"
"0",0,"testing",0.90625,1,"1Logistic Regression"
"1",1,"testing",0.90625,1,"1Logistic Regression"
"0",0,"testing",0.90625,1,"1Logistic Regression"
"1",0,"testing",0.90625,1,"1Logistic Regression"
"1",1,"testing",0.90625,1,"1Logistic Regression"
"1",1,"training",0.854838709677419,1,"2ridge"
"0",0,"training",0.854838709677419,1,"2ridge"
"1",1,"training",0.854838709677419,1,"2ridge"
"0",0,"training",0.854838709677419,1,"2ridge"
"0",0,"training",0.854838709677419,1,"2ridge"
"0",0,"training",0.854838709677419,1,"2ridge"
"1",1,"training",0.854838709677419,1,"2ridge"
"1",1,"training",0.854838709677419,1,"2ridge"
"1",1,"training",0.854838709677419,1,"2ridge"
"0",0,"training",0.854838709677419,1,"2ridge"
"0",1,"training",0.854838709677419,1,"2ridge"
"0",1,"training",0.854838709677419,1,"2ridge"
"0",0,"training",0.854838709677419,1,"2ridge"
"1",1,"training",0.854838709677419,1,"2ridge"
"0",0,"training",0.854838709677419,1,"2ridge"
"1",1,"training",0.854838709677419,1,"2ridge"
"1",1,"training",0.854838709677419,1,"2ridge"
"0",0,"training",0.854838709677419,1,"2ridge"
"1",0,"training",0.854838709677419,1,"2ridge"
"1",1,"training",0.854838709677419,1,"2ridge"
"0",0,"training",0.854838709677419,1,"2ridge"
"0",0,"training",0.854838709677419,1,"2ridge"
"1",1,"training",0.854838709677419,1,"2ridge"
"0",0,"training",0.854838709677419,1,"2ridge"
"0",1,"training",0.854838709677419,1,"2ridge"
"1",0,"training",0.854838709677419,1,"2ridge"
"0",0,"training",0.854838709677419,1,"2ridge"
"1",1,"training",0.854838709677419,1,"2ridge"
"0",0,"training",0.854838709677419,1,"2ridge"
"0",0,"training",0.854838709677419,1,"2ridge"
"1",1,"training",0.854838709677419,1,"2ridge"
"0",0,"training",0.854838709677419,1,"2ridge"
"1",0,"training",0.854838709677419,1,"2ridge"
"1",1,"training",0.854838709677419,1,"2ridge"
"0",0,"training",0.854838709677419,1,"2ridge"
"1",1,"training",0.854838709677419,1,"2ridge"
"0",1,"training",0.854838709677419,1,"2ridge"
"0",0,"training",0.854838709677419,1,"2ridge"
"0",0,"training",0.854838709677419,1,"2ridge"
"1",1,"training",0.854838709677419,1,"2ridge"
"1",1,"training",0.854838709677419,1,"2ridge"
"1",1,"training",0.854838709677419,1,"2ridge"
"1",1,"training",0.854838709677419,1,"2ridge"
"1",1,"training",0.854838709677419,1,"2ridge"
"0",0,"training",0.854838709677419,1,"2ridge"
"0",0,"training",0.854838709677419,1,"2ridge"
"0",1,"training",0.854838709677419,1,"2ridge"
"0",0,"training",0.854838709677419,1,"2ridge"
"0",0,"training",0.854838709677419,1,"2ridge"
