"predictions","Actual","predictions_type","AUC","Fold","Model"
"1",1,"training",0.892857142857143,1,"1Logistic Regression"
"1",1,"training",0.892857142857143,1,"1Logistic Regression"
"0",0,"training",0.892857142857143,1,"1Logistic Regression"
"0",0,"training",0.892857142857143,1,"1Logistic Regression"
"0",0,"training",0.892857142857143,1,"1Logistic Regression"
"0",0,"training",0.892857142857143,1,"1Logistic Regression"
"0",0,"training",0.892857142857143,1,"1Logistic Regression"
"0",0,"training",0.892857142857143,1,"1Logistic Regression"
"1",1,"training",0.892857142857143,1,"1Logistic Regression"
"0",1,"training",0.892857142857143,1,"1Logistic Regression"
"1",0,"training",0.892857142857143,1,"1Logistic Regression"
"1",1,"training",0.892857142857143,1,"1Logistic Regression"
"1",1,"training",0.892857142857143,1,"1Logistic Regression"
"0",0,"training",0.892857142857143,1,"1Logistic Regression"
"1",1,"training",0.892857142857143,1,"1Logistic Regression"
"0",0,"training",0.892857142857143,1,"1Logistic Regression"
"0",1,"training",0.892857142857143,1,"1Logistic Regression"
"0",0,"training",0.892857142857143,1,"1Logistic Regression"
"1",1,"training",0.892857142857143,1,"1Logistic Regression"
"1",1,"training",0.892857142857143,1,"1Logistic Regression"
"0",0,"training",0.892857142857143,1,"1Logistic Regression"
"0",0,"training",0.892857142857143,1,"1Logistic Regression"
"1",1,"training",0.892857142857143,1,"1Logistic Regression"
"1",1,"training",0.892857142857143,1,"1Logistic Regression"
"1",1,"training",0.892857142857143,1,"1Logistic Regression"
"0",0,"training",0.892857142857143,1,"1Logistic Regression"
"0",1,"training",0.892857142857143,1,"1Logistic Regression"
"1",1,"training",0.892857142857143,1,"1Logistic Regression"
"1",1,"training",0.892857142857143,1,"1Logistic Regression"
"1",1,"training",0.892857142857143,1,"1Logistic Regression"
"1",1,"training",0.892857142857143,1,"1Logistic Regression"
"0",1,"training",0.892857142857143,1,"1Logistic Regression"
"1",1,"training",0.892857142857143,1,"1Logistic Regression"
"1",1,"training",0.892857142857143,1,"1Logistic Regression"
"0",0,"training",0.892857142857143,1,"1Logistic Regression"
"1",1,"training",0.892857142857143,1,"1Logistic Regression"
"0",0,"training",0.892857142857143,1,"1Logistic Regression"
"1",1,"training",0.892857142857143,1,"1Logistic Regression"
"0",0,"training",0.892857142857143,1,"1Logistic Regression"
"1",1,"training",0.892857142857143,1,"1Logistic Regression"
"1",1,"training",0.892857142857143,1,"1Logistic Regression"
"1",1,"training",0.892857142857143,1,"1Logistic Regression"
"1",1,"training",0.892857142857143,1,"1Logistic Regression"
"0",0,"training",0.892857142857143,1,"1Logistic Regression"
"0",0,"training",0.892857142857143,1,"1Logistic Regression"
"0",0,"training",0.892857142857143,1,"1Logistic Regression"
"0",0,"training",0.892857142857143,1,"1Logistic Regression"
"1",1,"training",0.892857142857143,1,"1Logistic Regression"
"1",1,"training",0.892857142857143,1,"1Logistic Regression"
"0",0,"training",0.892857142857143,1,"1Logistic Regression"
"1",1,"training",0.892857142857143,1,"1Logistic Regression"
"1",1,"training",0.892857142857143,1,"1Logistic Regression"
"0",0,"training",0.892857142857143,1,"1Logistic Regression"
"1",1,"training",0.892857142857143,1,"1Logistic Regression"
"1",1,"training",0.892857142857143,1,"1Logistic Regression"
"1",1,"training",0.892857142857143,1,"1Logistic Regression"
"1",1,"training",0.892857142857143,1,"1Logistic Regression"
"0",0,"training",0.892857142857143,1,"1Logistic Regression"
"0",0,"training",0.892857142857143,1,"1Logistic Regression"
"1",1,"training",0.892857142857143,1,"1Logistic Regression"
"0",0,"training",0.892857142857143,1,"1Logistic Regression"
"0",0,"training",0.892857142857143,1,"1Logistic Regression"
"1",1,"training",0.892857142857143,1,"1Logistic Regression"
"1",1,"training",0.892857142857143,1,"1Logistic Regression"
"0",0,"training",0.892857142857143,1,"1Logistic Regression"
"0",0,"training",0.892857142857143,1,"1Logistic Regression"
"0",0,"training",0.892857142857143,1,"1Logistic Regression"
"0",0,"training",0.892857142857143,1,"1Logistic Regression"
"0",0,"training",0.892857142857143,1,"1Logistic Regression"
"0",0,"training",0.892857142857143,1,"1Logistic Regression"
"0",0,"training",0.892857142857143,1,"1Logistic Regression"
"1",1,"training",0.892857142857143,1,"1Logistic Regression"
