epoch,dataset,train_num,train_acc,train_loss,train_recall,train_precision,train_tp,train_tn,train_fp,train_fn,test_num,test_acc,test_loss,test_recall,test_precision,test_tp,test_tn,test_fp,test_fn
0,7,121318.0000,0.7757,0.4874,82.9555,74.8888,50320.0000,43786.0000,16873.0000,10339.0000,7622.0000,0.7561,0.5013,82.0862,29.8557,724.0000,5039.0000,1701.0000,158.0000
1,7,121318.0000,0.7918,0.4608,83.7188,76.7555,50783.0000,45280.0000,15379.0000,9876.0000,7622.0000,0.7217,0.5654,84.6939,27.3326,747.0000,4754.0000,1986.0000,135.0000
2,7,121318.0000,0.7955,0.4519,83.7749,77.2459,50817.0000,45690.0000,14969.0000,9842.0000,7622.0000,0.7317,0.5593,85.1474,28.1801,751.0000,4826.0000,1914.0000,131.0000
3,7,121318.0000,0.8028,0.4410,84.0914,78.1364,51009.0000,46386.0000,14273.0000,9650.0000,7622.0000,0.7851,0.4264,78.2313,32.3034,690.0000,5294.0000,1446.0000,192.0000
4,7,121318.0000,0.8064,0.4338,84.4129,78.4940,51204.0000,46630.0000,14029.0000,9455.0000,7622.0000,0.7783,0.4591,79.8186,31.7690,704.0000,5228.0000,1512.0000,178.0000
5,7,121318.0000,0.8096,0.4278,85.0030,78.6378,51562.0000,46652.0000,14007.0000,9097.0000,7622.0000,0.7699,0.4784,80.6122,30.9939,711.0000,5157.0000,1583.0000,171.0000
6,7,121318.0000,0.8109,0.4224,85.2784,78.6873,51729.0000,46648.0000,14011.0000,8930.0000,7622.0000,0.7443,0.5133,84.1270,29.0866,742.0000,4931.0000,1809.0000,140.0000
7,7,121318.0000,0.8138,0.4170,85.8405,78.8044,52070.0000,46654.0000,14005.0000,8589.0000,7622.0000,0.7369,0.5359,84.9206,28.5769,749.0000,4868.0000,1872.0000,133.0000
8,7,121318.0000,0.8161,0.4101,86.5642,78.7572,52509.0000,46496.0000,14163.0000,8150.0000,7622.0000,0.7699,0.4555,81.4059,31.1092,718.0000,5150.0000,1590.0000,164.0000
9,7,121318.0000,0.8191,0.4024,87.1247,78.9027,52849.0000,46528.0000,14131.0000,7810.0000,7622.0000,0.7627,0.4929,82.7664,30.5823,730.0000,5083.0000,1657.0000,152.0000
10,7,121318.0000,0.8238,0.3930,88.0100,79.1044,53386.0000,46557.0000,14102.0000,7273.0000,7622.0000,0.7470,0.4975,83.3333,29.2130,735.0000,4959.0000,1781.0000,147.0000
11,7,121318.0000,0.8283,0.3849,88.9662,79.2394,53966.0000,46520.0000,14139.0000,6693.0000,7622.0000,0.7452,0.5049,82.0862,28.8676,724.0000,4956.0000,1784.0000,158.0000
12,7,121318.0000,0.8347,0.3744,90.0147,79.5982,54602.0000,46664.0000,13995.0000,6057.0000,7622.0000,0.7543,0.4762,81.5193,29.6007,719.0000,5030.0000,1710.0000,163.0000
13,7,121318.0000,0.8400,0.3638,90.9230,79.8705,55153.0000,46759.0000,13900.0000,5506.0000,7622.0000,0.7713,0.4646,79.7052,31.0101,703.0000,5176.0000,1564.0000,179.0000
14,7,121318.0000,0.8448,0.3552,91.6319,80.1647,55583.0000,46906.0000,13753.0000,5076.0000,7622.0000,0.7452,0.4989,80.8390,28.6806,713.0000,4967.0000,1773.0000,169.0000
15,7,121318.0000,0.8504,0.3450,92.4315,80.5262,56068.0000,47100.0000,13559.0000,4591.0000,7622.0000,0.7711,0.4586,79.7052,30.9828,703.0000,5174.0000,1566.0000,179.0000
16,7,121318.0000,0.8577,0.3331,93.2458,81.1215,56562.0000,47496.0000,13163.0000,4097.0000,7622.0000,0.7527,0.4959,78.6848,29.0255,694.0000,5043.0000,1697.0000,188.0000
17,7,121318.0000,0.8643,0.3222,94.0108,81.6395,57026.0000,47834.0000,12825.0000,3633.0000,7622.0000,0.7608,0.5303,79.2517,29.8846,699.0000,5100.0000,1640.0000,183.0000
18,7,121318.0000,0.8677,0.3137,94.2465,81.9933,57169.0000,48104.0000,12555.0000,3490.0000,7622.0000,0.7729,0.4722,77.5510,30.8525,684.0000,5207.0000,1533.0000,198.0000
19,7,121318.0000,0.8720,0.3065,94.5878,82.4119,57376.0000,48414.0000,12245.0000,3283.0000,7622.0000,0.7709,0.5113,78.3447,30.7658,691.0000,5185.0000,1555.0000,191.0000
20,7,121318.0000,0.8764,0.2978,95.0032,82.8119,57628.0000,48698.0000,11961.0000,3031.0000,7622.0000,0.7696,0.4879,76.0771,30.2798,671.0000,5195.0000,1545.0000,211.0000
21,7,121318.0000,0.8802,0.2901,95.2274,83.2298,57764.0000,49020.0000,11639.0000,2895.0000,7622.0000,0.7792,0.5051,76.4172,31.3634,674.0000,5265.0000,1475.0000,208.0000
22,7,121318.0000,0.8851,0.2831,95.5950,83.7285,57987.0000,49390.0000,11269.0000,2672.0000,7622.0000,0.7818,0.4998,76.0771,31.6062,671.0000,5288.0000,1452.0000,211.0000
23,7,121318.0000,0.8881,0.2762,95.6907,84.1183,58045.0000,49700.0000,10959.0000,2614.0000,7622.0000,0.7957,0.4811,70.9751,32.4857,626.0000,5439.0000,1301.0000,256.0000
24,7,121318.0000,0.8917,0.2679,95.8324,84.5640,58131.0000,50048.0000,10611.0000,2528.0000,7622.0000,0.7939,0.4906,73.3560,32.6273,647.0000,5404.0000,1336.0000,235.0000
25,7,121318.0000,0.8960,0.2599,96.0385,85.0763,58256.0000,50440.0000,10219.0000,2403.0000,7622.0000,0.7875,0.5002,73.0159,31.7868,644.0000,5358.0000,1382.0000,238.0000
26,7,121318.0000,0.8981,0.2550,96.1259,85.3519,58309.0000,50652.0000,10007.0000,2350.0000,7622.0000,0.7902,0.5193,73.3560,32.1730,647.0000,5376.0000,1364.0000,235.0000
27,7,121318.0000,0.9012,0.2477,96.1572,85.7941,58328.0000,51001.0000,9658.0000,2331.0000,7622.0000,0.7949,0.5302,71.2018,32.4213,628.0000,5431.0000,1309.0000,254.0000
