epoch,dataset,atten_masks,train_acc,train_f1_score,train_recall,train_precision,train_loss,test_acc,test_f1_score,test_recall,test_precision,test_loss,train_num,train_tp,train_fp,train_tn,train_fn,test_num,test_tp,test_fp,test_tn,test_fn
0,0,0,64.3680,59.3714,52.0698,69.0549,80150.01580811,74.0882,32.9372,54.9887,23.5095,4850.91345596,121318.0000,31585.0000,14154.0000,46505.0000,29074.0000,7622.0000,485.0000,1578.0000,5162.0000,397.0000
1,0,0,67.5638,66.7095,64.9978,68.5139,73243.67037964,69.4962,33.3620,65.9864,22.3245,4439.48303223,121318.0000,39427.0000,18119.0000,42540.0000,21232.0000,7622.0000,582.0000,2025.0000,4715.0000,300.0000
2,0,0,70.6639,71.6924,74.2973,69.2640,69994.17367554,67.5676,34.9816,75.3968,22.7740,4609.83425522,121318.0000,45068.0000,19999.0000,40660.0000,15591.0000,7622.0000,665.0000,2255.0000,4485.0000,217.0000
3,0,0,74.9411,75.2061,76.0102,74.4189,64741.46009827,73.3272,39.9409,76.6440,27.0076,4098.22640610,121318.0000,46107.0000,15849.0000,44810.0000,14552.0000,7622.0000,676.0000,1827.0000,4913.0000,206.0000
4,0,0,77.5804,77.5928,77.6356,77.5500,60713.52693176,77.1320,43.6105,76.4172,30.5115,3885.40925980,121318.0000,47093.0000,13633.0000,47026.0000,13566.0000,7622.0000,674.0000,1535.0000,5205.0000,208.0000
5,0,0,78.7789,77.8112,74.4176,81.5290,58924.10534668,81.9208,48.1955,72.6757,36.0517,3500.28513336,121318.0000,45141.0000,10227.0000,50432.0000,15518.0000,7622.0000,641.0000,1137.0000,5603.0000,241.0000
6,0,0,79.0740,78.7338,77.4741,80.0351,58105.99108887,80.2414,47.1950,76.3039,34.1624,3844.72155762,121318.0000,46995.0000,11723.0000,48936.0000,13664.0000,7622.0000,673.0000,1297.0000,5443.0000,209.0000
7,0,0,79.9931,78.5988,73.4780,84.4868,56602.98849487,85.0433,52.8146,72.3356,41.5906,3250.26019287,121318.0000,44571.0000,8184.0000,52475.0000,16088.0000,7622.0000,638.0000,896.0000,5844.0000,244.0000
8,0,0,80.3755,79.5024,76.1157,83.2045,55600.89393616,83.7182,51.3905,74.3764,39.2579,3501.31186867,121318.0000,46171.0000,9320.0000,51339.0000,14488.0000,7622.0000,656.0000,1015.0000,5725.0000,226.0000
9,0,0,80.8594,79.6477,74.9056,85.0307,54566.34739685,85.5550,54.2584,74.0363,42.8197,3255.00124741,121318.0000,45437.0000,7999.0000,52660.0000,15222.0000,7622.0000,653.0000,872.0000,5868.0000,229.0000
10,0,0,81.1265,79.2939,72.2762,87.8210,54151.75962830,87.8903,57.5242,70.8617,48.4121,2885.56582069,121318.0000,43842.0000,6080.0000,54579.0000,16817.0000,7622.0000,625.0000,666.0000,6074.0000,257.0000
11,0,0,81.5707,80.3908,75.5535,85.8899,52734.18019104,86.2241,55.3951,73.9229,44.2935,3186.36565018,121318.0000,45830.0000,7529.0000,53130.0000,14829.0000,7622.0000,652.0000,820.0000,5920.0000,230.0000
12,0,0,81.8840,80.5429,74.9913,86.9820,51978.63793945,87.2474,57.1429,73.4694,46.7532,2979.36145210,121318.0000,45489.0000,6808.0000,53851.0000,15170.0000,7622.0000,648.0000,738.0000,6002.0000,234.0000
13,0,0,82.3283,81.0437,75.5519,87.3965,51048.70751953,87.4574,57.5111,73.3560,47.2953,2946.85031891,121318.0000,45829.0000,6609.0000,54050.0000,14830.0000,7622.0000,647.0000,721.0000,6019.0000,235.0000
14,0,0,82.7355,81.7513,77.3422,86.6934,50330.76673889,86.6439,56.8644,76.0771,45.3992,3026.32496643,121318.0000,46915.0000,7201.0000,53458.0000,13744.0000,7622.0000,671.0000,807.0000,5933.0000,211.0000
